"pers.id"	"rate.id"	"eval.id"	"eval.1"	"eval.2"	"eval.3"	"eval.4"	"eval.5"	"eval.6"	"eval.7"	"eval.8"	"eval.9"	"eval.10"	"eval.11"	"eval.12"	"eval.13"	"eval.14"	"eval.15"	"eval.16"	"eval.17"	"eval.18"	"eval.19"	"eval.20"	"eval.21"	"eval.22"	"eval.23"
13	13	2	3	2	5	3	4	5	5	4	3	5	4	4	4	4	4	4	4	3	4	4	3	4	4
13	13	3	4	4	4	3	4	3	4	4	4	3	4	5	4	4	3	4	4	3	4	5	5	3	4
13	13	4	4	4	3	5	4	3	4	5	4	3	4	3	3	5	4	4	4	4	5	4	3	4	3
13	13	5	4	4	4	3	3	5	4	4	3	4	4	5	4	4	5	4	4	3	3	3	4	4	3
13	213	1	5	4	5	4	5	4	5	4	4	4	4	5	4	4	4	3	5	4	5	5	4	5	4
13	213	2	3	4	4	4	4	4	5	4	5	3	4	4	5	5	4	5	5	5	5	5	4	4	4
13	213	3	2	5	4	3	5	3	4	5	4	4	5	5	5	4	4	4	4	4	4	5	4	5	5
13	213	4	4	5	5	4	5	5	4	5	5	5	4	5	4	5	5	4	4	3	5	4	5	5	4
13	213	5	4	4	4	4	4	3	5	4	4	4	4	5	4	5	3	4	3	4	4	5	4	5	4
14	14	1	4	4	3	4	4	3	3	3	4	4	4	4	4	4	4	3	3	4	4	4	4	3	4
14	14	2	3	4	3	4	4	3	4	3	4	4	4	4	4	4	3	4	3	5	3	4	4	5	3
14	14	3	4	4	4	4	4	2	4	3	4	2	4	5	3	3	4	5	3	4	4	3	2	5	5
14	14	4	3	4	4	3	4	3	4	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4
14	14	5	4	4	3	3	3	4	4	3	5	4	3	4	5	4	3	4	2	4	4	4	4	4	4
14	214	1	5	5	5	5	5	3	4	3	5	4	4	4	5	5	3	5	5	4	4	4	5	5	3
14	214	2	5	4	5	4	4	3	4	5	4	5	5	4	4	4	4	4	4	4	4	4	5	5	4
14	214	3	4	4	4	5	4	4	5	3	4	5	3	4	5	4	5	4	4	4	5	4	5	5	4
14	214	4	4	4	5	5	5	4	4	3	4	3	4	5	4	4	4	4	4	3	4	4	5	5	4
14	214	5	5	4	4	5	5	4	4	5	4	4	3	4	5	4	4	4	3	5	5	5	4	5	4
15	15	1	3	1	2	3	3	2	3	1	2	2	4	3	3	1	3	2	3	3	3	4	3	2	1
15	15	2	1	3	1	2	3	3	3	2	3	3	3	2	2	3	1	2	1	2	3	3	2	3	3
15	15	3	3	3	3	3	1	2	3	3	2	4	3	3	2	3	2	4	1	1	3	2	2	2	2
15	15	4	3	1	3	1	2	2	3	2	4	2	3	4	4	1	1	3	2	3	4	2	4	3	2
15	15	5	3	1	3	3	3	1	3	2	3	3	1	3	2	2	1	3	2	3	2	1	3	3	1
15	215	1	3	2	3	3	4	1	4	4	1	2	3	4	2	3	2	3	1	4	4	3	3	4	3
15	215	2	2	2	2	3	4	3	3	3	2	2	3	3	3	4	3	3	3	3	4	2	3	4	3
15	215	3	2	3	4	3	3	3	3	3	3	3	4	4	4	4	3	3	3	4	4	3	2	4	4
15	215	4	2	3	3	3	3	3	4	3	3	1	3	3	2	4	4	3	4	1	3	3	3	3	2
15	215	5	3	3	3	3	4	2	2	3	1	1	1	3	3	2	4	3	3	3	4	3	4	4	3
16	16	1	5	5	5	4	5	4	5	4	5	4	4	5	5	5	4	5	5	5	5	5	5	5	5
16	16	2	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	4	4	5	5	5	5	4
16	16	3	4	5	5	4	5	5	5	5	4	5	5	5	5	5	3	5	5	5	5	5	5	5	5
16	16	4	5	4	5	5	5	4	5	4	5	4	5	5	5	5	4	5	5	4	5	5	5	5	5
16	16	5	5	5	5	4	5	4	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5
16	216	1	5	5	5	5	5	4	5	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	4
16	216	2	5	4	5	4	5	3	5	5	5	5	5	5	5	4	4	5	4	4	5	4	5	5	5
16	216	3	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5
16	216	4	5	5	4	4	5	4	5	5	5	5	5	5	5	4	4	5	5	5	5	5	5	5	5
16	216	5	5	5	5	4	5	4	5	5	4	4	5	5	5	5	5	4	5	5	5	5	5	5	5
17	17	1	4	5	3	3	4	4	4	4	3	3	4	4	5	4	4	4	3	4	4	4	4	4	3
17	17	2	3	4	4	3	4	5	5	4	4	4	3	5	4	4	3	4	3	3	4	3	4	5	4
17	17	3	3	4	4	4	4	3	4	2	4	3	4	5	5	5	4	4	4	4	4	5	4	5	4
17	17	4	4	4	4	3	4	3	4	3	4	3	4	4	4	4	4	3	5	4	4	4	4	5	4
17	17	5	4	4	4	2	3	4	5	4	2	5	3	3	4	4	4	5	5	4	4	3	5	5	3
17	217	1	5	5	4	4	4	3	4	4	5	4	3	5	5	5	5	4	4	4	5	5	5	5	4
17	217	2	5	3	5	5	5	3	4	3	4	4	4	5	5	4	3	4	4	5	4	4	4	4	5
17	217	3	5	3	2	4	5	4	5	5	4	4	4	5	5	4	4	5	3	3	4	4	4	4	5
17	217	4	4	4	3	4	5	4	4	4	4	4	5	4	5	4	4	5	4	3	4	5	5	5	4
17	217	5	5	4	4	5	4	4	5	4	4	5	4	5	4	4	4	4	3	3	4	5	5	5	4
18	18	1	4	5	5	3	4	4	4	4	4	5	5	5	3	4	4	4	5	4	4	4	4	5	3
18	18	2	4	5	4	4	4	2	5	5	3	4	5	5	3	3	4	4	4	4	5	4	4	5	3
18	18	3	4	5	4	4	4	4	4	4	3	4	3	5	4	4	3	4	5	4	5	5	4	4	3
18	18	4	5	4	5	3	4	4	4	5	5	3	5	5	3	4	3	4	5	4	4	4	5	5	4
18	18	5	5	5	4	4	5	3	3	4	3	5	3	5	4	3	4	4	3	4	5	4	5	4	4
18	218	1	5	5	4	4	5	4	5	3	3	5	5	5	4	4	4	4	5	5	4	4	5	4	4
18	218	2	4	5	5	4	5	4	5	5	3	4	5	4	5	5	5	5	2	4	5	5	5	4	5
18	218	3	4	5	4	4	5	3	4	5	5	4	5	4	4	4	5	5	4	5	5	5	5	5	4
18	218	4	4	4	4	4	5	3	5	4	5	3	5	5	4	5	3	5	4	5	5	4	4	5	5
18	218	5	5	5	5	5	4	3	4	4	4	4	4	4	4	5	5	5	4	5	4	5	4	4	4
19	19	1	2	3	3	1	2	1	3	3	1	2	3	3	2	3	2	3	2	1	1	3	2	1	2
19	19	2	2	2	2	3	2	1	1	3	1	1	2	2	1	1	1	1	1	1	3	4	3	2	1
19	19	3	1	2	1	1	2	1	2	1	1	2	1	2	3	2	1	4	2	2	3	3	2	3	2
19	19	4	1	3	3	1	1	1	3	1	1	1	2	1	2	2	1	1	2	1	4	2	1	4	1
19	19	5	1	1	2	1	2	2	2	2	1	2	3	2	3	2	1	2	1	1	3	1	2	3	2
19	219	1	3	3	3	3	3	2	3	3	1	2	2	3	3	3	1	3	1	2	2	2	3	3	3
19	219	2	3	3	2	1	2	1	3	3	3	2	1	3	3	2	2	3	3	2	3	3	3	4	2
19	219	3	3	2	1	2	3	1	3	2	3	3	3	3	2	2	3	3	1	3	3	2	3	3	3
19	219	4	3	3	3	3	3	2	3	2	3	2	2	4	3	1	1	3	1	3	3	1	3	3	1
19	219	5	3	4	3	3	3	3	1	1	3	1	3	2	1	4	1	1	1	3	3	3	3	3	3
20	20	1	2	3	3	3	4	2	3	1	3	1	3	3	4	3	2	4	3	4	4	2	3	2	4
20	20	2	4	3	2	3	3	4	4	2	3	3	3	4	3	4	3	2	4	3	3	3	4	1	3
20	20	3	3	3	4	2	3	2	2	3	2	4	2	3	3	3	3	4	3	3	2	3	4	3	3
20	20	4	3	3	2	2	3	2	3	3	3	3	3	4	4	3	4	4	3	3	3	3	4	4	3
20	20	5	3	4	3	4	3	1	3	3	3	3	3	4	4	4	2	3	3	3	3	3	2	4	3
20	220	1	2	3	4	3	4	3	2	3	3	4	4	5	3	4	3	3	2	4	4	4	3	4	4
20	220	2	3	3	4	3	4	4	4	3	3	2	3	3	4	3	3	4	2	3	3	4	1	4	2
20	220	3	3	4	3	2	1	2	4	3	3	4	3	4	2	4	1	3	3	1	3	3	3	3	2
20	220	4	4	3	4	3	2	3	2	3	3	3	3	4	3	4	3	3	4	3	4	4	3	4	3
20	220	5	4	5	3	3	3	2	4	3	3	3	2	4	3	3	3	4	4	3	3	3	4	4	3
21	21	1	3	4	4	4	4	4	5	4	3	4	4	5	3	5	3	3	3	3	4	4	4	4	4
21	21	2	5	4	3	4	4	4	3	4	3	4	3	3	3	4	4	5	5	4	4	4	5	5	3
21	21	3	5	4	4	2	5	4	4	3	4	4	5	4	4	4	4	3	4	5	4	4	4	5	4
21	21	4	4	4	3	4	4	4	4	4	4	4	4	4	5	4	5	5	4	4	5	5	4	5	4
21	21	5	5	4	4	4	3	4	4	4	4	4	3	5	4	4	4	5	3	3	4	5	4	4	5
21	221	1	5	5	5	5	5	3	4	5	4	4	5	5	5	5	4	5	5	4	4	5	5	3	3
21	221	2	4	5	5	5	4	4	5	5	5	5	4	4	4	5	4	5	4	5	5	4	4	4	4
21	221	3	5	5	4	4	5	5	4	4	5	5	5	5	5	4	5	4	3	5	4	5	5	5	4
21	221	4	5	5	4	4	4	5	4	4	4	5	3	5	5	4	5	5	4	5	5	4	4	4	5
21	221	5	5	5	5	4	5	5	5	4	4	5	4	5	4	5	4	4	4	5	5	5	5	5	5
22	22	1	4	4	5	4	5	4	5	5	4	3	4	5	4	3	2	4	5	4	4	5	4	4	4
22	22	2	5	4	4	3	4	4	5	3	3	4	5	4	5	4	4	4	3	4	4	5	5	5	5
22	22	3	3	4	5	5	5	4	4	4	5	3	5	5	3	4	4	5	4	4	5	4	4	4	5
22	22	4	5	4	4	5	5	4	4	4	3	4	4	5	4	5	5	4	3	5	5	4	5	4	4
22	22	5	5	5	4	3	5	4	3	4	3	4	3	4	4	4	4	4	4	4	5	4	3	5	4
22	222	1	4	5	4	5	5	4	4	4	5	4	5	5	5	5	4	5	4	5	4	4	5	4	5
22	222	2	5	5	5	4	4	5	5	3	4	5	5	5	4	5	4	4	5	5	5	5	4	5	4
22	222	3	4	5	4	4	4	5	4	3	5	5	5	5	4	4	4	5	5	4	5	5	4	5	4
22	222	4	5	4	5	5	4	4	5	4	4	4	4	5	4	4	5	5	5	4	5	4	5	5	5
22	222	5	4	4	5	4	5	3	5	4	4	4	5	5	5	5	4	5	4	4	4	5	5	5	5
23	23	1	5	4	5	5	5	5	5	5	5	5	4	5	4	4	5	5	4	5	5	5	5	5	4
23	23	2	5	5	4	5	5	4	5	5	5	5	5	5	5	5	4	5	4	5	5	5	5	5	5
23	23	3	4	5	5	5	5	4	5	5	5	5	4	5	5	5	4	5	4	4	5	5	5	4	4
23	23	4	5	5	4	4	5	4	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5
23	23	5	5	4	5	4	5	4	5	4	4	5	5	5	5	5	4	5	3	5	5	4	5	5	5
23	223	1	5	4	4	5	5	4	4	5	5	5	4	5	5	4	4	5	5	5	5	5	4	4	4
23	223	2	5	5	5	4	5	4	5	5	5	4	5	5	4	5	4	5	5	4	5	5	4	5	5
23	223	3	5	5	5	4	5	5	5	5	5	5	4	5	5	5	4	4	4	5	5	5	5	5	5
23	223	4	4	5	5	5	5	4	4	4	5	4	4	5	5	4	5	5	5	5	5	4	5	4	5
23	223	5	5	5	5	5	5	4	5	4	5	5	5	5	5	5	4	4	5	4	5	5	5	5	5
24	24	1	4	4	3	3	4	3	4	3	3	3	4	5	3	5	3	4	3	5	5	3	4	3	3
24	24	2	4	4	3	4	4	4	4	4	3	4	4	5	5	4	4	4	3	5	3	5	4	4	4
24	24	3	3	5	4	5	3	3	4	4	3	4	4	4	3	3	3	4	3	5	5	5	3	4	2
24	24	4	4	5	5	5	4	2	4	5	5	4	4	3	3	4	3	3	4	3	4	3	4	3	3
24	24	5	4	4	3	4	4	3	3	4	4	4	3	5	3	3	3	5	4	3	5	4	3	3	4
24	224	1	1	4	3	3	4	2	3	1	2	2	1	3	2	3	2	2	2	4	4	1	2	3	2
24	224	2	2	4	1	4	3	1	4	4	3	2	3	3	1	3	3	1	3	1	3	2	1	4	1
24	224	3	4	3	2	3	3	2	4	2	3	2	4	3	2	2	2	1	2	2	2	2	3	1	1
24	224	4	2	2	3	3	3	2	3	3	2	2	3	3	4	2	3	4	3	2	2	3	2	3	2
24	224	5	3	3	3	2	3	2	3	3	3	3	2	4	4	4	3	4	3	3	1	3	1	4	3
25	25	1	4	3	3	4	3	3	4	5	4	3	5	5	4	3	5	4	3	4	4	5	4	4	3
25	25	2	4	3	4	5	5	3	4	4	4	4	4	4	4	4	4	4	4	3	5	5	4	4	3
25	25	3	5	4	4	4	5	3	3	3	4	5	4	5	4	4	4	4	5	5	5	4	3	5	3
25	25	4	4	4	4	5	4	4	4	4	5	4	3	4	4	4	4	4	4	4	5	4	4	4	5
25	25	5	3	3	4	4	5	3	4	4	4	4	4	4	5	4	4	5	4	3	4	4	5	4	5
25	225	1	4	3	3	3	4	3	4	3	2	3	3	4	4	4	3	3	4	4	4	4	3	5	3
25	225	2	2	2	3	2	4	4	4	4	4	4	3	5	4	4	4	3	4	4	4	4	3	4	4
25	225	3	5	3	4	4	4	3	5	2	2	4	3	4	4	3	2	4	3	3	3	4	4	4	4
25	225	4	5	3	2	3	4	3	3	3	3	4	4	4	5	3	3	3	4	4	5	4	3	3	3
25	225	5	4	3	4	3	4	3	4	3	3	3	4	4	4	3	3	4	3	4	4	3	4	4	3
26	26	1	5	4	4	4	4	4	4	5	4	4	4	5	4	4	3	5	4	4	4	4	5	4	5
26	26	2	5	3	4	4	5	4	4	4	4	4	4	5	4	4	4	5	5	3	4	5	5	4	4
26	26	3	4	5	4	4	3	4	5	4	4	5	4	5	5	3	4	4	4	4	5	5	4	4	4
26	26	4	4	4	4	4	4	5	4	4	4	3	4	4	4	5	5	5	3	5	5	5	5	5	4
26	26	5	5	3	3	5	4	4	4	4	4	4	4	5	5	4	4	4	4	4	4	4	5	5	4
26	226	1	5	5	4	5	5	3	4	5	4	4	5	4	4	4	3	4	4	3	4	5	4	4	4
26	226	2	4	4	4	3	5	3	3	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4
26	226	3	4	5	4	4	4	3	5	4	4	4	4	4	4	5	5	5	3	3	5	5	4	5	4
26	226	4	4	5	4	4	4	3	5	4	5	5	4	4	5	5	4	3	4	4	5	5	5	4	4
26	226	5	4	4	4	4	5	4	4	5	4	5	4	4	5	4	4	5	3	4	5	4	4	5	4
27	27	1	3	4	3	3	3	3	4	2	3	2	3	3	3	2	1	2	3	3	4	3	3	4	4
27	27	2	3	4	3	2	3	1	3	4	3	3	3	4	3	2	3	4	3	3	4	4	3	3	3
